ac_sink,sink_gender,sink_YOB,sink_race
f494b1eed90f1dd00647b6b27d0606ad,F,1961,Hispanic
5a1489f5c9a4ed9b4329c9874f789432,F,1973,White
b8f08bceb5e4043b6d529530ce6c29a9,F,1977,White
14128e83ba6accfcd287136777d38b31,F,1965,White
6addd2bcc2196fd853c26351e031a93c,F,1970,White
74b448efd6320f2a0b4cdea5ffbb2924,F,1961,Other
39571b6c4af591472929941f8e43e879,F,1968,White
603bc117891487eb1209983e142231b1,F,1967,White
ef224d42f20d351afb64ddc29bb9c107,F,1949,White
bca24df30c4f4ba3328d8cf93557d8a2,M,1995,White
9297d12aa0d2425315acce408cddf14c,F,1978,White
c8566b297acf8e97b5490e47437be2f3,M,1983,White
aeef41f0eb79687318702dcb9550ed90,M,1975,White
471579b77126cfe888e3efe8f67c7a70,M,1944,White
6f2cdbe1e301689582df08027b92a964,F,1988,White
84bf02d2fdb2a9c114b1b5219c11bb92,M,1949,White
4264702ceaf88e1472439b26d8a27e56,M,1965,White
b47574f24dda725b67295a27d6edbc57,M,1946,Unknown
ddc89db06a86a8e2e9b46f175bfe2ae3,F,1962,Asian
988ef0b880675e413088eee32c401846,M,1966,White
99b18f34fc7a20287e7e815ef3ca985d,M,1949,Other
d4dfd2ae9014e2a725ff1fe8d5a3d5a4,F,1961,Other
c1d713b7c3c782fb3394b19aec9def1e,F,1956,White
f0c14e9fe9c7841652aab4d7daf14639,M,1955,White
63ace5dcb5a92010c7157ed8ef3a0f71,F,1987,White
cd6225414d14126ae98d8ebbea0da941,F,1981,Unknown
3f1b7b7ae057cbb83d88f1d79b268bfa,M,1960,White
fe33c9ccf453741c521c738deaf3f6ee,M,1973,Unknown
4d5d1266e340d6e31d4d94858132ce91,F,1986,White
09c1345062c3ae37f7c76dc1ff2a9ab7,F,1961,White
39fe14f15dbebb4b1ca3ddca80687f00,M,1964,Other
5636be9a9531a9a9d1a32b4229beba65,F,1960,Unknown
9ec1d1709c7c76871b836d152f052546,M,1953,Unknown
9d22bc59d14ab9446a899fc13dd611a5,M,1988,White
91093336c406d9e6b908ddb7a6796702,M,1953,White
1abc52145b7f948c7f557b5387a370ee,M,1952,White
